"Assunto_MED","Escaninho","Sugestao_1_Codigo","Sugestao_1_Descricao","Sugestao_1_Prazo_Corrente","Sugestao_1_Prazo_Intermediario","Sugestao_1_Destinacao","Sugestao_1_Confianca","Sugestao_2_Codigo","Sugestao_2_Descricao","Sugestao_2_Confianca","Sugestao_3_Codigo","Sugestao_3_Descricao","Sugestao_3_Confianca","Justificativa","Grupo_Similar","Codigo_Final","Observacoes_DPO","Status_Validacao","Aba_Destino"
"Diversos","","002.11","PEDIDO DE ACESSO À INFORMAÇÃO E RECURSO","2 anos","–","Guarda Permanente","80%","—","—","0%","—","—","0%","Sem correspondência identificada na TTDD de Conselhos","G10","","CORREÇÃO DPO: 002.11 TTDD Meio (Pedido de Acesso à Informação e Recurso). Processos genéricos de atendimento ao cidadão.","","Validar"
"Expedição de Carteira Definitiva","Sede - Registro de Pessoa Física","232","EXPEDIÇÃO E CONTROLE DE DOCUMENTOS DE IDENTIFICAÇÃO PROFISSIONAL","01 ano","05 anos","Eliminação","92.5%","241","SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA","60.4%","212.1","SOLICITAÇÃO DE REGISTRO. ALTERAÇÃO CADASTRAL. EXTENSÃO DE ATRIBUIÇÃO","54.5%","Correspondência semântica e contextual entre 'Expedição de Carteira Definitiva' e código 232","G06","","","","Alta_Confianca"
"Expedição de Carteira Provisória","Sede - Registro de Pessoa Física","232","EXPEDIÇÃO E CONTROLE DE DOCUMENTOS DE IDENTIFICAÇÃO PROFISSIONAL","01 ano","05 anos","Eliminação","92.5%","241","SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA","60.4%","212.1","SOLICITAÇÃO DE REGISTRO. ALTERAÇÃO CADASTRAL. EXTENSÃO DE ATRIBUIÇÃO","54.5%","Correspondência semântica e contextual entre 'Expedição de Carteira Provisória' e código 232","G06","","","","Alta_Confianca"
"Fiscalização de Atestado","Sede - Fiscalização do Exercício Profiss","311","INSPEÇÃO PERIÓDICA","01 ano","05 anos","Eliminação","87.5%","312","APURAÇÃO DE DENÚNCIA","87.5%","301","PLANEJAMENTO E AVALIAÇÃO DA FISCALIZAÇÃO","74.8%","Correspondência semântica e contextual entre 'Fiscalização de Atestado' e código 311","G08","","","","Alta_Confianca"
"Inclusao de RT Por Pessoa Juridica","Sede - Registro de Pessoa Jurídica","241","SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA","Enquanto vigora","06 anos (52 anos para fins previdenciários)","Eliminação","90%","221.2","CANCELAMENTO TEMPORÁRIO OU DEFINITIVO DE REGISTRO DE PESSOA JURÍDICA","61.8%","243.1","SOLICITAÇÃO DE BAIXA DE RESPONSABILIDADE TÉCNICA","54.3%","Correspondência semântica e contextual entre 'Inclusao de RT Por Pessoa Juridica' e código 221.1","G04","","CORREÇÃO DPO: 241 (Solicitação e Emissão de ART). Inclusão de RT é emissão de responsabilidade técnica por PJ.","","Alta_Confianca"
"Inclusao de RT a Pedido da Empresa","Sede - Registro de Pessoa Física","241","SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA","Enquanto vigora","06 anos (52 anos para fins previdenciários)","Eliminação","90%","212.3","CANCELAMENTO TEMPORÁRIO OU DEFINITIVO DE REGISTRO PROFISSIONAL","45.1%","232","EXPEDIÇÃO E CONTROLE DE DOCUMENTOS DE IDENTIFICAÇÃO PROFISSIONAL","45.1%","Correspondência semântica e contextual entre 'Inclusao de RT a Pedido da Empresa' e código 243.1","G04","","CORREÇÃO DPO: 241 (Solicitação e Emissão de ART). Inclusão de RT a pedido da empresa = emissão de ART/RT.","","Alta_Confianca"
"Inclusão de Responsavel Tecnico/Integrante","Sede - Registro de Pessoa Jurídica","241","SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA","Enquanto vigora","06 anos (52 anos para fins previdenciários)","Eliminação","50.1%","203","CADASTRAMENTO DE INSTITUIÇÕES DE ENSINO E CURSOS","43.1%","221.1","SOLICITAÇÃO DE REGISTRO. ALTERAÇÕES CADASTRAIS. ALTERAÇÕES DE ATIVIDADES DE PESSOA JURÍDICA","43.1%","Correspondência semântica e contextual entre 'Inclusão de Responsavel Tecnico/Integrante' e código 241","G04","","","","Revisar_Prioritario"
"Interrupção de Visto de Profissional","Sede - Registro de Pessoa Física","212.3","CANCELAMENTO TEMPORÁRIO OU DEFINITIVO DE REGISTRO PROFISSIONAL","Até a conclusão do processo","15 anos","Eliminação","87.5%","212.1","SOLICITAÇÃO DE REGISTRO. ALTERAÇÃO CADASTRAL. EXTENSÃO DE ATRIBUIÇÃO","81.5%","232","EXPEDIÇÃO E CONTROLE DE DOCUMENTOS DE IDENTIFICAÇÃO PROFISSIONAL","72.5%","Correspondência semântica e contextual entre 'Interrupção de Visto de Profissional' e código 212.3","G07","","","","Alta_Confianca"
"N","","002.11","PEDIDO DE ACESSO À INFORMAÇÃO E RECURSO","2 anos","–","Guarda Permanente","75%","—","—","0%","—","—","0%","Assunto inválido/incompleto. Corresponde provavelmente a campo não preenchido no MED. Requer reclassificação.","G10","","CORREÇÃO DPO: 002.11 TTDD Meio (Pedido de Acesso à Informação e Recurso). Campo provavelmente corresponde a registros de atendimento.","","Validar"
"Nomeação/Destituição de Inspetor - Assessoria Institucional/Interior","Sede - Ass. Apoio às Inspetorias","122","ARTICULAÇÕES POLÍTICAS","04 anos a partir do encerramento definitivo","10 anos","Eliminação","85%","212.2","VERIFICAÇÃO DE PARTICIPAÇÃO EM ATIVIDADES DE DESENVOLVIMENTO PROFISSIONAL E EDUCAÇÃO CONTINUADA","30.6%","212.3","CANCELAMENTO TEMPORÁRIO OU DEFINITIVO DE REGISTRO PROFISSIONAL","30.6%","Correspondência semântica e contextual entre 'Nomeação/Destituição de Inspetor - Assessoria Institucional/Interior' e código 212.1","G09","","CORREÇÃO DPO: 122 (Articulações Políticas). Nomeação/Destituição de Inspetor é articulação institucional interna. Prazo: 4+10 anos. Eliminação.","","Alta_Confianca"
"Nomeação/Destituição de Representante Municipal do Crea-GO - Assessoria Institucional/Interior","Sede - Ass. Apoio às Inspetorias","122","ARTICULAÇÕES POLÍTICAS","04 anos a partir do encerramento definitivo","10 anos","Eliminação","85%","212.2","VERIFICAÇÃO DE PARTICIPAÇÃO EM ATIVIDADES DE DESENVOLVIMENTO PROFISSIONAL E EDUCAÇÃO CONTINUADA","26.0%","212.3","CANCELAMENTO TEMPORÁRIO OU DEFINITIVO DE REGISTRO PROFISSIONAL","26.0%","Correspondência semântica e contextual entre 'Nomeação/Destituição de Representante Municipal do Crea-GO - Assessoria Institucional/Interior' e código 212.1","G09","","CORREÇÃO DPO: 122 (Articulações Políticas). Nomeação/Destituição de Representante Municipal = articulação institucional. Prazo: 4+10 anos. Eliminação.","","Alta_Confianca"
"Patrocínio - Cadastro do Responsável Pelo Projeto","","422","APOIO A CURSOS E EVENTOS DE DESENVOLVIMENTO PROFISSIONAL","Até a aprovação das contas pelo Tribunal de Contas","05 anos a contar da aprovação das contas","Eliminação","62%","231","GESTÃO DO CADASTRO NACIONAL E REGIONAL","42.2%","403","CREDENCIAMENTO DE PROFISSIONAIS E INSTITUIÇÕES","32.7%","Patrocínio a projetos/eventos de desenvolvimento profissional. Código 422 (Apoio a Cursos e Eventos). Verificar se relacionado a apoio financeiro institucional.","G10","","Se patrocínio de obras/projetos de engenharia: verificar código 241. Se evento institucional: 422.","","Revisar_Prioritario"
"Proposta de Transposição Orçamentaria","Sede - Contabilidade","051.1","PROGRAMAÇÃO ORÇAMENTÁRIA","5 anos","5 anos","Guarda Permanente","90%","111","ELABORAÇÃO E REVISÃO DE NORMAS","22.0%","112","APROVAÇÃO E HOMOLOGAÇÃO DE NORMAS","22.0%","Atividade-meio (orçamento). Não possui código na TTDD de Conselhos. Consultar TTDD Atividades-Meio 2024, família 050.X (Gestão Orçamentária e Financeira).","G10","","CORREÇÃO DPO: 051.1 TTDD Meio (Programação Orçamentária). Transposição orçamentária é atividade-meio de gestão de orçamento. Prazo: 5+5 anos. Guarda Permanente.","","Alta_Confianca"
"Registro de ART com isenção de Taxa por Decisão Judicial p/ Servidores Públicos Estaduais","Sede - Acervo","241","SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA","Enquanto vigora","06 anos (52 anos para fins previdenciários)","Eliminação","88%","241","SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA","54.4%","212.1","SOLICITAÇÃO DE REGISTRO. ALTERAÇÃO CADASTRAL. EXTENSÃO DE ATRIBUIÇÃO","50.5%","Correspondência semântica e contextual entre 'Registro de ART com isenção de Taxa por Decisão Judicial p/ Servidores Públicos Estaduais' e código 212.3","G04","","CORREÇÃO DPO: 241 (Solicitação e Emissão de ART). ART com isenção judicial é variação de emissão de ART — mesmo código 241, independente da modalidade de isenção.","","Alta_Confianca"
"Registro de Consórcio para Licitação","Sede - Registro de Pessoa Jurídica","221.1","SOLICITAÇÃO DE REGISTRO. ALTERAÇÕES CADASTRAIS. ALTERAÇÕES DE ATIVIDADES DE PESSOA JURÍDICA","Enquanto o registro estiver ativo","15 anos","Eliminação","88%","221.1","SOLICITAÇÃO DE REGISTRO. ALTERAÇÕES CADASTRAIS. ALTERAÇÕES DE ATIVIDADES DE PESSOA JURÍDICA","77.7%","212.3","CANCELAMENTO TEMPORÁRIO OU DEFINITIVO DE REGISTRO PROFISSIONAL","57.2%","Correspondência semântica e contextual entre 'Registro de Consórcio para Licitação' e código 221.2","G03","","CORREÇÃO DPO: 221.1 (Solicitação de Registro PJ). Consórcio para licitação é registro de pessoa jurídica (consórcio de empresas).","","Alta_Confianca"
